"","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL"
"1",1,"2015-10-08","Away","COL",5,4,"W","1","0","0","W 1",1,30,6,1,2,0,23,6,2,2,1,0,1,1,0,0
"2",2,"2015-10-10","Home","STL",8,6,"W","2","0","0","W 2",2,49,16,2,5,0,55,16,3,5,1,1,1,2,0,0
"3",3,"2015-10-15","Away","ARI",12,9,"W","3","0","0","W 3",3,73,32,3,10,1,85,40,3,12,1,1,1,3,0,0
"4",4,"2015-10-16","Away","LAK",13,11,"OTL","3","0","1","L 1",3,99,40,4,15,1,122,50,4,16,0.75,1,0.666666666666667,3,0,1
"5",5,"2015-10-18","Away","ANA",14,15,"L","3","1","1","L 2",3,134,44,4,16,1,144,52,4,18,0.6,1,0.5,3,1,1
"6",6,"2015-10-22","Home","CBJ",17,17,"W","4","1","1","W 1",4,157,48,5,18,1,173,56,5,20,0.666666666666667,1,0.5,4,1,1
"7",7,"2015-10-24","Home","ANA",20,17,"W","5","1","1","W 2",5,187,50,5,23,2,188,64,5,21,0.714285714285714,1,0.5,5,1,1
"8",8,"2015-10-25","Away","WPG",24,22,"L","5","2","1","L 1",5,217,52,6,28,2,221,74,5,22,0.625,1,0.4,5,2,1
"9",9,"2015-10-27","Home","EDM",28,25,"W","6","2","1","W 1",6,245,52,7,30,2,246,78,5,23,0.666666666666667,1,0.4,6,2,1
"10",10,"2015-10-30","Home","CHI",33,29,"W","7","2","1","W 2",7,275,54,8,32,2,275,82,6,24,0.7,1,0.4,7,2,1
"11",11,"2015-10-31","Away","STL",35,32,"OTL","7","2","2","L 1",7,306,67,8,37,2,301,101,6,25,0.636363636363636,1,0.333333333333333,6,2,2
"12",12,"2015-11-05","Home","NSH",37,35,"L","7","3","2","L 2",7,335,71,10,43,2,325,115,6,26,0.583333333333333,0.833333333333333,0.333333333333333,5,3,2
"13",13,"2015-11-07","Home","TBL",38,35,"W","8","3","2","W 1",8,360,75,10,46,2,356,121,6,28,0.615384615384615,0.857142857142857,0.333333333333333,5,3,2
"14",14,"2015-11-10","Home","WPG",43,38,"W","9","3","2","W 2",9,388,84,10,52,3,384,136,7,30,0.642857142857143,0.875,0.333333333333333,6,3,1
"15",15,"2015-11-12","Away","CAR",46,40,"OTW","10","3","2","W 3",10,409,90,10,52,3,423,136,8,33,0.666666666666667,0.875,0.285714285714286,7,2,1
"16",16,"2015-11-14","Away","DAL",48,43,"OTL","10","3","3","L 1",10,433,100,10,56,3,459,148,9,37,0.625,0.875,0.25,6,2,2
"17",17,"2015-11-17","Away","PIT",51,47,"L","10","4","3","L 2",10,462,114,12,62,3,488,162,11,43,0.588235294117647,0.875,0.222222222222222,5,3,2
"18",18,"2015-11-19","Away","BOS",53,51,"L","10","5","3","L 3",10,488,131,12,65,3,526,191,12,47,0.555555555555556,0.875,0.2,5,3,2
"19",19,"2015-11-21","Home","NSH",57,51,"W","11","5","3","W 1",11,515,147,14,69,3,549,221,12,49,0.578947368421053,0.888888888888889,0.2,5,3,2
