"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID","AvgCFPerClose","AvgCFPer5v5","AvgCFPerEven","AvgAge","PDO","FOWPer"
"1",1,1,"2015-10-09","Home","WPG",1,3,"L",0,1,0,"L 1",0,21,8,1,4,0,30,8,1,4,0,0,0,0,1,0,0.9,1,21.72,16.27,"201510090NJD",29.4,41.1,42.1,27.9,100.4,46.4
"2",2,2,"2015-10-10","Away","WSH",4,8,"L",0,2,0,"L 2",0,45,20,2,7,0,57,16,3,9,0,0,0,0,2,0,0.87,1,22.05,15.26,"201510100WSH",39.4,46.25,48.95,27.9,100.4,46.4
"3",3,3,"2015-10-13","Home","NSH",5,11,"L",0,3,0,"L 3",0,68,24,3,9,0,77,20,4,11,0,0,0,0,3,0,0.9,1,22,15.26,"201510130NJD",44.37,47.5,49,27.9,100.4,46.4
"4",4,4,"2015-10-16","Home","SJS",6,13,"SOL",0,3,1,"L 4",0,100,28,4,15,0,111,32,4,12,0,0,0,0,3,1,0.92,1,21.78,15.27,"201510160NJD",45.77,48.33,49.42,27.9,100.4,46.4
"5",5,5,"2015-10-18","Away","NYR",8,14,"OTW",1,3,1,"W 1",1,124,37,4,18,0,138,43,4,14,0.2,0,0,1,3,1,0.92,1,21.77,15.28,"201510180NYR",44.9,47.46,48.2,27.9,100.4,46.4
"6",6,6,"2015-10-20","Home","ARI",11,16,"OTW",2,3,1,"W 2",2,149,52,4,21,1,158,52,5,19,0.333333333333333,0,0,2,3,1,0.92,1,21.81,15.29,"201510200NJD",45.35,48.52,48.93,27.9,100.4,46.4
"7",7,7,"2015-10-22","Away","OTT",16,20,"SOW",3,3,1,"W 3",2,181,80,6,25,1,197,67,6,24,0.428571428571429,0,0,3,3,1,0.92,1,21.75,15.28,"201510220OTT",44.74,48.36,48.64,27.9,100.4,46.4
"8",8,8,"2015-10-24","Away","BUF",20,23,"W",4,3,1,"W 4",3,209,90,6,27,2,226,71,8,29,0.5,0,0.25,4,3,1,0.91,1,21.78,15.29,"201510240BUF",45.76,49.88,50.09,27.9,100.4,46.4
"9",9,9,"2015-10-27","Home","CBJ",21,26,"L",4,4,1,"L 1",3,233,98,7,31,2,240,81,8,32,0.444444444444444,0,0.25,4,4,1,0.9,1,21.63,15.29,"201510270NJD",47.94,50.91,51.02,27.9,100.4,46.4
"10",10,10,"2015-10-29","Away","PHI",25,27,"W",5,4,1,"W 1",4,266,102,9,36,2,268,87,8,34,0.5,0,0.4,5,4,1,0.91,1,21.59,15.29,"201510290PHI",48.55,50.62,50.32,27.9,100.4,46.4
"11",11,11,"2015-10-31","Home","NYI",28,29,"SOW",6,4,1,"W 2",4,283,108,9,39,2,294,95,9,36,0.545454545454545,0,0.4,6,3,1,0.91,1,21.6,15.29,"201510310NJD",48.04,49.96,49.52,27.9,100.4,46.4
"12",12,12,"2015-11-03","Away","NYI",29,31,"L",6,5,1,"L 1",4,307,112,10,44,2,328,105,9,37,0.5,0,0.333333333333333,6,3,1,0.91,1,21.54,15.29,"201511030NYI",48.12,49.69,49.23,27.9,100.4,46.4
"13",13,13,"2015-11-06","Home","CHI",33,33,"W",7,5,1,"W 1",5,333,123,10,46,2,357,114,9,40,0.538461538461538,0.142857142857143,0.333333333333333,7,2,1,0.91,1,21.59,15.3,"201511060NJD",48.43,49.44,48.62,27.9,100.4,46.4
"14",14,14,"2015-11-08","Home","VAN",37,36,"OTW",8,5,1,"W 2",6,361,172,11,51,3,388,148,9,46,0.571428571428571,0.125,0.333333333333333,8,2,0,0.91,1,21.71,15.29,"201511080NJD",47.84,48.79,48.15,27.9,100.4,46.4
"15",15,15,"2015-11-10","Home","STL",37,38,"L",8,6,1,"L 1",6,385,178,11,52,3,416,152,9,48,0.533333333333333,0.111111111111111,0.333333333333333,7,3,0,0.91,1,21.73,15.29,"201511100NJD",47.51,48.36,47.96,27.9,100.4,46.4
"16",16,16,"2015-11-12","Away","CHI",40,40,"W",9,6,1,"W 1",7,407,188,12,55,3,445,158,10,53,0.5625,0.111111111111111,0.428571428571429,7,3,0,0.91,1,21.67,15.29,"201511120CHI",47.19,47.51,46.99,27.9,100.4,46.4
"17",17,17,"2015-11-14","Home","PIT",44,40,"W",10,6,1,"W 2",8,444,196,13,59,3,466,170,10,56,0.588235294117647,0.2,0.428571428571429,7,3,0,0.92,1,21.7,15.29,"201511140NJD",48.34,48.11,47.69,27.9,100.4,46.4
"18",18,18,"2015-11-17","Away","CGY",46,43,"L",10,7,1,"L 1",8,464,204,14,62,3,496,176,10,60,0.555555555555556,0.2,0.375,6,4,0,0.92,1,21.73,15.29,"201511170CGY",48.38,48.18,47.85,27.9,100.4,46.4
"19",19,19,"2015-11-20","Away","EDM",47,48,"L",10,8,1,"L 2",8,484,216,15,66,3,523,184,11,66,0.526315789473684,0.2,0.333333333333333,6,4,0,0.91,1,21.7,15.29,"201511200EDM",48.14,48.05,47.89,27.9,100.4,46.4
"20",20,20,"2015-11-22","Away","VAN",50,50,"W",11,8,1,"W 1",9,506,232,16,71,3,561,194,12,74,0.55,0.2,0.4,6,4,0,0.92,1,21.73,15.29,"201511220VAN",47.95,48.23,47.78,27.9,100.4,46.4
"21",21,21,"2015-11-25","Home","CBJ",51,52,"L",11,9,1,"L 1",9,534,238,16,76,3,586,206,12,76,0.523809523809524,0.181818181818182,0.4,5,5,0,0.92,1,21.66,15.29,"201511250NJD",48,48.52,48.15,27.9,100.4,46.4
"22",22,22,"2015-11-27","Home","MTL",53,55,"SOL",11,9,2,"L 2",9,561,246,17,80,3,613,214,12,80,0.5,0.166666666666667,0.4,5,4,1,0.92,1,21.76,15.29,"201511270NJD",47.92,48.15,47.75,27.9,100.4,46.4
"23",23,23,"2015-11-28","Away","MTL",56,57,"OTW",12,9,2,"W 1",10,592,250,17,82,3,645,218,13,82,0.521739130434783,0.166666666666667,0.363636363636364,5,4,1,0.92,1,21.78,15.29,"201511280MTL",47.98,48.23,47.91,27.9,100.4,46.4
"24",24,24,"2015-12-01","Home","COL",57,59,"L",12,10,2,"L 1",10,620,263,17,84,3,670,229,13,85,0.5,0.153846153846154,0.363636363636364,4,5,1,0.92,1,21.76,15.29,"201512010NJD",48.06,48.62,48.32,27.9,100.4,46.4
"25",25,25,"2015-12-03","Away","CAR",62,60,"W",13,10,2,"W 1",11,647,281,18,88,3,701,251,13,87,0.52,0.153846153846154,0.416666666666667,5,4,1,0.92,1,21.76,15.29,"201512030CAR",48.1,48.29,48.02,27.9,100.4,46.4
"26",26,26,"2015-12-04","Home","PHI",65,64,"OTL",13,10,3,"L 1",11,665,296,19,92,3,726,268,15,90,0.5,0.142857142857143,0.416666666666667,4,4,2,0.92,1,21.72,15.29,"201512040NJD",47.86,48.12,47.81,27.9,100.4,46.4
"27",27,27,"2015-12-06","Home","FLA",69,66,"W",14,10,3,"W 1",12,683,306,19,94,3,762,278,15,92,0.518518518518518,0.2,0.416666666666667,4,4,2,0.92,1,21.67,15.29,"201512060NJD",47.94,47.72,47.39,27.9,100.4,46.4
"28",28,28,"2015-12-08","Away","TOR",71,69,"SOL",14,10,4,"L 1",12,710,316,21,99,3,799,288,16,97,0.5,0.2,0.384615384615385,4,3,3,0.92,1,21.72,15.29,"201512080TOR",47.63,47.41,47.15,27.9,100.4,46.4
